"gene","logFC_106839","logFC_299945","adjP_106839","adjP_299945","avg_logFC","direction_consistent","fisher_combined_p","stouffer_combined_p","effect_ratio","effect_consistent","integrated_score","fisher_FDR","stouffer_FDR"
"APELA",0.627815981884665,2.08507289867961,0.00582916672596163,2.4286026921992e-05,1.35644444028214,TRUE,2.37415307660116e-06,1.61130605458304e-06,0.301100255191191,TRUE,1,3.27208479305227e-05,2.05994421095714e-05
"ZNRF2",0.836660743460428,1.4594229563487,0.00586296497284285,1.50885601931346e-05,1.14804184990456,TRUE,1.52517377013801e-06,1.11022302873298e-06,0.573281885022319,TRUE,1,2.56495493565273e-05,1.62525913498113e-05
"PRLR",1.54184804731562,1.95319193739345,0.00600422060292979,0.0155402125722675,1.74751999235454,TRUE,0.000959158819180872,0.000482167524371357,0.789399145981129,TRUE,1,0.00249302920006837,0.00147273943660239
"MOCOS",0.58264270202128,1.869315492592,0.00601553822451313,0.000260163151465143,1.22597909730664,TRUE,2.24856185383925e-05,1.17148556999513e-05,0.311687729722597,TRUE,1,0.000146945337495308,8.03357622794273e-05
"SLC25A29",1.47898505487066,2.41313547680568,0.0062269878941267,0.000297701258663762,1.94606026583817,TRUE,2.63205226310497e-05,1.36398692851536e-05,0.612889358714506,TRUE,1,0.000164280375420308,8.94826099543048e-05
"KCNMB4",-1.21320841015439,-1.45100858205145,0.00624712887082985,0.0240345377101431,-1.33210849610292,TRUE,0.00147202425261986,0.000777982061692439,0.836113876348784,TRUE,0.75,0.00352205920153945,0.00217773314230684
"GIN1",0.890321670067451,1.59027900542097,0.00626555931995331,0.00529345504767679,1.24030033774421,TRUE,0.000375244346017553,0.000176512270811835,0.559852495714594,TRUE,1,0.00119525406871281,0.000657118935924395
"KLHL42",-0.76740547914808,-2.11628769694233,0.00630065863168044,6.14646338636334e-05,-1.4418465880452,TRUE,6.10494562222771e-06,3.73988622859311e-06,0.3626186932225,TRUE,0.75,5.98906470995394e-05,3.645171682821e-05
"RPA3",-1.55105370965245,-0.853824183362872,0.00630962217607074,0.000242866813787115,-1.20243894650766,TRUE,2.20491772214256e-05,1.16582548703725e-05,0.550480088503312,TRUE,0.75,0.000145214132682833,8.0034289903516e-05
"RGS20",-1.38538870908936,-3.82053827023565,0.00632777525893388,1.80406947215962e-05,-2.60296348966251,TRUE,1.93904292462007e-06,1.40480585808511e-06,0.362616105663014,TRUE,0.75,2.89864688343558e-05,1.87809691689738e-05
"TPH2",-1.09949353763299,-1.90643832278886,0.00635568732864816,1.39744661087286e-05,-1.50296593021092,TRUE,1.53091637167377e-06,1.15394022104365e-06,0.576726519022433,TRUE,0.75,2.56951429035779e-05,1.6465988743377e-05
