"gene","logFC_106839","logFC_299945","avg_logFC","SE_106839","SE_299945","P_106839","P_299945","FDR_106839","FDR_299945","sig_106839","sig_299945","direction_consistent","category"
"ZDHHC16",0.47327853339707,0.995556657443696,0.734417595420383,0.0869621580285922,0.122958657571105,0.000410093585262724,8.76961987986764e-06,0.00198534374361367,2.93040435540931e-05,TRUE,TRUE,TRUE,"Moderate"
"PNPO",-0.459499489307771,-1.0090404456105,-0.734269967459137,0.0950150298714562,0.0872772018631308,0.000926745448799798,3.13251260708958e-07,0.00376697401265773,1.8354429718699e-06,TRUE,TRUE,TRUE,"Moderate"
"SETD7",0.903687366091323,0.562864598953817,0.73327598252257,0.066166703511277,0.0953078542072574,2.54591451437157e-07,0.000132710321038001,1.86871658979549e-05,0.000317493500487273,TRUE,TRUE,TRUE,"Moderate"
"BLZF1",0.457647153384228,1.00770243941139,0.73267479639781,0.101067347552513,0.0682742630601583,0.00143094533682889,2.88510484883697e-08,0.00526222642660765,2.90721822731908e-07,TRUE,TRUE,TRUE,"Moderate"
"SLC36A4",0.700532310727662,0.764816866476572,0.732674588602117,0.120140225722377,0.124967148468076,0.000249868773300005,9.90614623974358e-05,0.0013741149402263,0.000243874871523071,TRUE,TRUE,TRUE,"Moderate"
"OGG1",1.21584600491782,0.247413505842045,0.731629755379933,0.145748402444752,1.00662115005932,1.58425465190191e-05,0.810672026781059,0.000193353085239891,0.832336111450376,TRUE,FALSE,TRUE,"Moderate"
"TIE1",-0.0464829185792341,-1.41674515367459,-0.73161403612691,0.143331310810969,0.113128740269468,0.753120090230657,1.44522540642217e-07,0.808540792325178,1.00580037796825e-06,FALSE,TRUE,TRUE,"Moderate"
"EVC2",0.110887788733433,1.35163879401809,0.731263291375761,0.15333441741736,0.150906862100022,0.487943889342036,3.48977487502984e-06,0.580079987894731,1.33105012685862e-05,FALSE,TRUE,TRUE,"Moderate"
"SEMA5A",-0.17942329721329,-1.28103657988011,-0.730229938546698,0.073535434388859,0.106122357865831,0.0373738469008394,2.06467955517434e-07,0.0711616989870248,1.32321868799836e-06,FALSE,TRUE,TRUE,"Moderate"
"PPP1R8",0.503559876375032,0.956622761162923,0.730091318768978,0.0894491989094474,0.0678877688847022,0.000322182789509534,4.55656559917165e-08,0.00165598411174906,4.06132870248202e-07,TRUE,TRUE,TRUE,"Moderate"
