"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TSPAN9",-0.836,4.4792,-6.89088524531853,"1.638e-05","5.572e-05",2.8
"FBXL18",0.8812,5.6127,6.92616696906699,"1.559e-05","5.357e-05",2.8
"LLPH",0.6483,6.2517,6.89112399677871,"1.638e-05","5.572e-05",2.79
"ZC3H7B",-0.8413,6.9259,-6.95025080151478,"1.506e-05","5.220e-05",2.79
"EHF",-4.5791,4.742,-6.7396797174047,"2.034e-05","6.640e-05",2.79
"RLF",0.5378,5.6749,6.89569605247124,"1.627e-05","5.552e-05",2.78
"KCNC2",3.1155,0.3089,6.46480625373338,"3.035e-05","9.293e-05",2.78
"TMBIM1",-0.8658,7.3813,-6.99023516889691,"1.424e-05","4.979e-05",2.78
"GSAP",-1.0705,4.6242,-6.89596716797984,"1.627e-05","5.552e-05",2.77
"PRRG4",1.3057,3.4367,6.83217798557817,"1.781e-05","5.968e-05",2.77
"PCYT2",-1.6095,6.2786,-6.94918467049836,"1.509e-05","5.225e-05",2.77
"ADAT1",0.9881,4.9738,6.8954191596995,"1.628e-05","5.552e-05",2.77
"LONP2",-1.0589,7.4865,-6.9487884945214,"1.510e-05","5.225e-05",2.76
"CNNM2",-0.7568,5.891,-6.89912279320729,"1.619e-05","5.534e-05",2.75
"BAALC",5.2786,1.9944,6.47834836873948,"2.975e-05","9.139e-05",2.75
"ARL4A",-1.1365,8.2508,-7.01419202378515,"1.377e-05","4.843e-05",2.75
"CENPX",-0.7547,7.7743,-6.99122725756085,"1.422e-05","4.979e-05",2.75
"MCTP2",0.8767,3.8434,6.86452402627865,"1.701e-05","5.752e-05",2.75
"ESRRG",-0.6483,5.1223,-6.88784854914182,"1.646e-05","5.592e-05",2.74
"FTSJ3",0.5551,8.524,6.91760281740325,"1.578e-05","5.407e-05",2.74
"IWS1",0.5191,7.626,6.89766400742846,"1.623e-05","5.544e-05",2.74
"ABHD17A",0.7472,7.5865,6.92967272880743,"1.551e-05","5.343e-05",2.74
"SYNGR2",0.5149,8.7621,6.99084612465552,"1.423e-05","4.979e-05",2.73
"PSEN2",-0.547,6.5007,-6.8967366848729,"1.625e-05","5.549e-05",2.73
"PRRG3",0.7429,2.7534,6.80049012554775,"1.864e-05","6.183e-05",2.73
"TTC39B",0.9376,3.9629,6.84639872619931,"1.745e-05","5.865e-05",2.73
"CTHRC1",2.0479,1.6249,6.4981762299139,"2.890e-05","8.906e-05",2.73
"MSH4",-0.4921,5.6214,-6.85973748169618,"1.713e-05","5.782e-05",2.72
"C8B",-2.8497,1.68,-6.46826291727676,"3.020e-05","9.259e-05",2.72
"ST6GALNAC2",-1.0564,2.9987,-6.63598314742786,"2.362e-05","7.549e-05",2.72
"TKFC",-0.7672,6.7762,-6.91038786283594,"1.594e-05","5.453e-05",2.72
"TRMT44",0.6789,5.1948,6.86556888324132,"1.698e-05","5.746e-05",2.72
"PWWP2A",0.8215,5.7796,6.88297259246366,"1.657e-05","5.628e-05",2.71
"SPTSSA",-0.6898,7.9325,-6.97478159824892,"1.455e-05","5.064e-05",2.71
"GYPC",-2.1675,3.029,-6.63128678704749,"2.379e-05","7.592e-05",2.71
"TMEM181",-0.4165,5.999,-6.86178580728402,"1.708e-05","5.770e-05",2.71
"F2R",1.2344,2.1479,6.61938154617508,"2.420e-05","7.696e-05",2.7
"HMX3",1.335,4.2528,6.80046977491585,"1.864e-05","6.183e-05",2.7
"PPFIBP2",-0.5894,4.4584,-6.84008726144009,"1.761e-05","5.911e-05",2.7
"CALML4",-0.5761,7.1673,-6.92384951523836,"1.564e-05","5.368e-05",2.7
"PCCA",-0.8531,6.3633,-6.87893369225892,"1.666e-05","5.658e-05",2.7
"NSDHL",-0.7899,6.6145,-6.89117361181249,"1.638e-05","5.572e-05",2.7
"EIF4ENIF1",0.6457,6.4759,6.8579136061187,"1.717e-05","5.790e-05",2.7
"PICK1",0.4599,6.2815,6.85888000829147,"1.715e-05","5.785e-05",2.7
"PHF11",0.576,4.6737,6.84026265776698,"1.761e-05","5.911e-05",2.7
"SMYD2",0.4849,5.2657,6.84734084087662,"1.743e-05","5.859e-05",2.69
"ZBTB46",0.5295,5.734,6.8569802057566,"1.719e-05","5.796e-05",2.69
"NUB1",-0.5066,6.7966,-6.88973844022342,"1.641e-05","5.579e-05",2.69
