"gene","logFC_106839","logFC_299945","avg_logFC","SE_106839","SE_299945","FDR_106839","FDR_299945","regulation"
"ATP1B1",-0.763340301819172,-3.04109687288641,-1.90221858735279,0.0578630198016501,0.079277831626832,2.17863718506431e-05,4.08054707692963e-10,"DOWN"
"NR5A2",-0.599739840358477,-3.20225705829674,-1.90099844932761,0.176713479955954,0.0952476781487738,0.0206159953687516,9.17999381462001e-10,"DOWN"
"PLK3",1.44954818857095,2.35220729538579,1.90087774197837,0.154438947866382,0.0848624211486363,0.000101563749785488,2.91103186819068e-09,"UP"
"TSHZ2",-0.680160781856847,-3.12020770726739,-1.90018424456212,0.0900190502998879,0.130105675878684,0.000328691729475077,8.28386053002007e-09,"DOWN"
"ALAS1",-0.786139926148572,-3.01261322748594,-1.89937657681726,0.0867122664813016,0.0622520798708601,0.000122795147857032,1.76364503667677e-10,"DOWN"
"SLC25A29",-1.35558623453591,-2.4376427569472,-1.89661449574156,0.19982761096507,0.260346317352012,0.000600249906698026,9.47039684904343e-06,"DOWN"
"CTSO",-0.84713202518214,-2.94049913443901,-1.89381557981057,0.131128988290247,0.138590793424071,0.000794164931897338,1.94728570430088e-08,"DOWN"
"FGD4",-1.04513866396497,-2.73978549497164,-1.8924620794683,0.220750160998261,0.693763644542372,0.00420666949985542,0.00453423646452012,"DOWN"
"TIMP3",-0.923225690034503,-2.86019809382234,-1.89171189192842,0.0779412847531968,0.0991460591037766,3.26699190979576e-05,2.19900559051289e-09,"DOWN"
"MTTPL",-0.714282850351771,-3.05972736237768,-1.88700510636473,0.166009898472255,0.597224474262934,0.00675611534593183,0.000859277423459083,"DOWN"
"SLC2A9",-0.617243991040015,-3.15374482864425,-1.88549440984213,0.0849256416713185,0.205593644604726,0.000406528954427347,2.21604754763719e-07,"DOWN"
"SLC16A12",-0.7267164430625,-3.03115291036872,-1.87893467671561,0.135310270516819,0.810963674947989,0.00213224330324777,0.00623943309169797,"DOWN"
"FJX1",1.22756570420604,2.52999372207623,1.87877971314114,0.110955238017227,0.237198987714656,4.50544774448013e-05,3.4627179161564e-06,"UP"
"ST6GAL2",0.983795902700925,2.77333656440325,1.87856623355209,0.170341420676244,0.213687155965364,0.00145310573757678,7.74121680831038e-07,"UP"
